GeneSymbol	GeneID	MedianTumor	MedianNormal	Log2FoldChange	adjp
A1BG	ENSG00000121410.11	6.450	18.610	-1.396	4.01e-30
A1BG-AS1	ENSG00000268895.5	9.240	2.895	1.394	1.30e-36
A2M	ENSG00000175899.14	3.020	0.515	1.408	1.19e-20
A2M-AS1	ENSG00000245105.2	2.160	0.000	1.660	6.72e-37
AACSP1	ENSG00000250420.8	0.000	2.535	-1.822	4.10e-229
AAGAB	ENSG00000103591.12	20.520	52.548	-1.315	3.98e-63
AAK1	ENSG00000115977.18	55.981	8.710	2.553	1.28e-82
AAMDC	ENSG00000087884.14	13.390	28.505	-1.036	3.66e-49
AARS	ENSG00000090861.15	31.441	205.329	-2.669	2.38e-106
AATBC	ENSG00000215458.8	4.130	0.565	1.713	4.56e-41
ABALON	ENSG00000281376.1	0.960	3.300	-1.133	1.28e-61
ABAT	ENSG00000183044.11	7.830	0.175	2.910	4.81e-111
ABCA1	ENSG00000165029.15	3.810	0.020	2.237	5.13e-48
ABCA2	ENSG00000107331.16	48.860	15.950	1.557	5.32e-20
ABCA3	ENSG00000167972.13	2.380	7.385	-1.311	2.64e-24
ABCA5	ENSG00000154265.15	6.070	1.535	1.480	9.79e-23
ABCA8	ENSG00000141338.13	0.160	12.800	-3.572	2.31e-120
ABCB1	ENSG00000085563.14	2.530	0.285	1.458	2.64e-20
ABCB10P1	ENSG00000274099.1	0.000	2.750	-1.907	1.20e-169
ABCB10P3	ENSG00000261524.1	0.000	10.505	-3.524	4.13e-251
ABCB10P4	ENSG00000260053.2	0.000	25.325	-4.718	1.42e-256
ABCB6	ENSG00000115657.12	5.310	20.200	-1.748	1.34e-30
ABCB8	ENSG00000197150.12	18.020	45.984	-1.305	2.10e-52
ABCC1	ENSG00000103222.18	54.191	20.569	1.355	3.57e-25
ABCC2	ENSG00000023839.10	1.110	0.050	1.007	2.34e-51
ABCC4	ENSG00000125257.13	9.070	20.554	-1.098	2.46e-16
ABCC6	ENSG00000091262.14	5.180	0.195	2.371	7.92e-50
ABCD4	ENSG00000119688.20	50.882	18.080	1.443	1.64e-50
ABCF2	ENSG00000033050.7	24.609	54.570	-1.118	6.30e-53
ABCG1	ENSG00000160179.18	6.200	0.030	2.805	8.29e-49
ABHD11	ENSG00000106077.18	7.670	21.410	-1.370	5.45e-36
ABHD12B	ENSG00000131969.14	4.610	0.120	2.325	5.91e-54
ABHD13	ENSG00000139826.5	8.190	3.310	1.092	1.15e-48
ABHD15	ENSG00000168792.4	12.370	2.210	2.058	2.01e-65
ABHD17AP1	ENSG00000198658.4	2.200	0.165	1.458	3.72e-53
ABHD17B	ENSG00000107362.13	21.960	7.755	1.391	1.97e-38
ABHD17C	ENSG00000136379.11	4.580	0.245	2.164	1.07e-35
ABHD3	ENSG00000158201.9	38.340	15.320	1.269	5.94e-38
ABHD5	ENSG00000011198.7	13.850	38.019	-1.394	1.04e-34
ABHD6	ENSG00000163686.13	3.930	1.250	1.132	1.59e-20
ABI3	ENSG00000108798.8	5.370	0.020	2.643	6.72e-39
ABLIM1	ENSG00000099204.18	9.140	0.150	3.140	4.30e-43
ABO	ENSG00000175164.13	1.520	10.930	-2.243	1.03e-11
ABR	ENSG00000159842.14	61.439	1.095	4.897	6.64e-114
ABRACL	ENSG00000146386.7	87.881	3.110	4.435	4.19e-172
ABT1	ENSG00000146109.4	9.660	24.480	-1.257	2.17e-95
ABTB1	ENSG00000114626.17	36.549	2.830	3.293	1.71e-88
ABTB2	ENSG00000166016.5	2.940	0.225	1.685	1.76e-38
AC000041.8	ENSG00000242156.1	0.000	7.885	-3.151	1.35e-31
AC000068.9	ENSG00000273300.1	2.050	5.459	-1.082	1.75e-8
AC000078.5	ENSG00000232926.1	3.170	0.610	1.373	8.33e-43
AC000120.7	ENSG00000243107.1	4.130	0.550	1.727	7.49e-76
AC002117.1	ENSG00000224505.2	1.950	0.155	1.353	3.20e-22
AC002400.1	ENSG00000261528.2	5.150	0.070	2.523	3.77e-70
AC002454.1	ENSG00000237819.5	17.430	0.805	3.352	2.33e-41
AC002467.7	ENSG00000241764.3	2.850	11.200	-1.664	1.43e-75
AC002480.2	ENSG00000238033.1	0.020	1.495	-1.290	2.03e-157
AC002480.3	ENSG00000232759.1	0.050	1.925	-1.478	1.39e-145
AC002480.5	ENSG00000225541.1	0.060	3.995	-2.236	1.97e-163
AC002539.1	ENSG00000230258.6	0.000	3.770	-2.254	5.33e-216
AC002543.2	ENSG00000235945.1	3.480	0.020	2.135	2.59e-64
AC002550.6	ENSG00000276571.1	3.330	0.580	1.455	1.70e-56
AC002984.2	ENSG00000267005.1	1.580	0.000	1.367	1.76e-42
AC004067.5	ENSG00000273447.1	3.750	0.525	1.639	3.00e-44
AC004069.2	ENSG00000251259.1	3.550	1.205	1.045	3.85e-17
AC004076.5	ENSG00000276449.1	1.640	0.215	1.120	3.26e-40
AC004158.3	ENSG00000260664.2	1.170	0.050	1.047	6.23e-51
AC004453.8	ENSG00000146677.7	3.320	10.320	-1.390	3.84e-49
AC004471.9	ENSG00000223461.1	1.040	3.140	-1.021	1.41e-33
AC004540.4	ENSG00000225792.1	1.780	0.150	1.273	2.43e-18
AC004623.2	ENSG00000267755.1	1.090	0.000	1.064	1.85e-16
AC004878.2	ENSG00000277675.1	1.890	0.145	1.336	5.83e-44
AC004893.10	ENSG00000238109.1	1.930	0.065	1.460	2.23e-79
AC004893.11	ENSG00000242687.2	7.040	1.110	1.930	3.83e-80
AC004951.6	ENSG00000228434.1	14.910	1.420	2.717	8.89e-93
AC004980.10	ENSG00000214243.3	4.400	0.175	2.200	7.11e-58
AC005083.1	ENSG00000233834.6	0.550	4.480	-1.822	2.20e-43
AC005086.1	ENSG00000279724.1	1.630	0.000	1.395	6.73e-31
AC005154.6	ENSG00000196295.11	117.091	30.506	1.906	1.02e-57
AC005154.7	ENSG00000244480.1	5.070	0.440	2.076	2.70e-68
AC005154.8	ENSG00000226874.1	7.800	0.255	2.810	7.74e-69
AC005256.1	ENSG00000267073.1	0.000	3.245	-2.086	6.14e-124
AC005264.2	ENSG00000267551.3	8.200	0.220	2.915	6.03e-53
AC005307.1	ENSG00000260725.1	0.000	23.226	-4.598	1.28e-282
AC005307.3	ENSG00000267243.5	0.020	60.480	-5.913	1.98e-221
AC005329.7	ENSG00000248015.6	2.110	0.545	1.009	1.85e-19
AC005363.9	ENSG00000255513.1	7.320	0.055	2.980	3.21e-47
AC005514.2	ENSG00000279599.1	1.720	0.000	1.444	4.43e-24
AC005517.3	ENSG00000223878.1	5.670	1.830	1.237	1.98e-17
