GeneSymbol	GeneID	MedianTumor	MedianNormal	Log2FoldChange	adjp
A2M	ENSG00000175899.14	150.957	329.263	-1.120	1.94e-60
A4GALT	ENSG00000128274.15	10.050	21.720	-1.040	2.65e-53
AADAC	ENSG00000114771.13	0.030	1.790	-1.438	7.54e-145
AAGAB	ENSG00000103591.12	44.099	18.661	1.198	1.42e-114
AARD	ENSG00000205002.3	10.680	3.430	1.399	1.83e-42
AASS	ENSG00000008311.14	1.920	16.200	-2.558	1.69e-269
ABAT	ENSG00000183044.11	12.670	5.310	1.115	1.68e-20
ABC7-42404400C24.1	ENSG00000277758.4	0.290	1.630	-1.028	1.93e-88
ABCA1	ENSG00000165029.15	4.450	11.890	-1.242	9.78e-90
ABCA10	ENSG00000154263.17	0.470	14.850	-3.431	0.00e+0
ABCA3	ENSG00000167972.13	17.980	7.990	1.078	2.98e-52
ABCA5	ENSG00000154265.15	5.710	23.400	-1.863	3.11e-195
ABCA6	ENSG00000154262.12	1.690	24.180	-3.227	0.00e+0
ABCA8	ENSG00000141338.13	1.060	32.540	-4.025	0.00e+0
ABCA9	ENSG00000154258.16	0.570	19.860	-3.732	0.00e+0
ABCB1	ENSG00000085563.14	1.620	7.460	-1.691	2.63e-148
ABCB5	ENSG00000004846.16	0.070	1.570	-1.264	4.72e-210
ABCC11	ENSG00000121270.15	5.900	0.950	1.823	1.09e-20
ABCC9	ENSG00000069431.10	1.800	7.900	-1.668	4.25e-152
ABCD2	ENSG00000173208.3	0.170	1.740	-1.228	1.70e-174
ABCD4	ENSG00000119688.20	21.780	48.000	-1.105	9.84e-146
ABHD17C	ENSG00000136379.11	16.310	4.830	1.570	5.98e-122
ABHD2	ENSG00000140526.16	26.670	12.420	1.044	5.61e-32
ABHD6	ENSG00000163686.13	3.280	8.480	-1.147	7.84e-106
ABI3BP	ENSG00000154175.16	7.260	34.719	-2.112	1.79e-97
ABLIM1	ENSG00000099204.18	21.350	57.751	-1.394	3.02e-113
ABLIM3	ENSG00000173210.19	9.130	44.350	-2.162	2.25e-127
ABO	ENSG00000175164.13	0.330	2.070	-1.207	1.61e-62
ABRACL	ENSG00000146386.7	61.031	20.050	1.559	4.64e-145
ABTB1	ENSG00000114626.17	15.590	47.330	-1.543	1.50e-143
AC002116.8	ENSG00000248101.2	0.030	1.420	-1.232	1.03e-77
AC002398.12	ENSG00000267328.1	1.050	13.080	-2.780	9.31e-174
AC005104.3	ENSG00000223374.1	0.670	2.500	-1.067	3.29e-126
AC005152.3	ENSG00000228639.6	0.480	14.460	-3.385	1.38e-49
AC005154.6	ENSG00000196295.11	16.850	39.330	-1.176	3.45e-110
AC005154.7	ENSG00000244480.1	0.400	1.860	-1.031	5.02e-187
AC005255.3	ENSG00000256210.3	7.470	1.270	1.900	3.10e-112
AC005519.4	ENSG00000258559.2	0.420	2.960	-1.480	2.45e-227
AC005682.5	ENSG00000228649.8	0.390	4.030	-1.855	5.29e-241
AC005786.7	ENSG00000267436.1	3.130	0.800	1.198	9.12e-17
AC005943.2	ENSG00000267059.2	2.960	0.200	1.722	1.01e-19
AC005943.6	ENSG00000279009.1	4.010	0.000	2.325	6.74e-16
AC006128.2	ENSG00000279716.1	2.230	9.630	-1.719	1.98e-58
AC007009.1	ENSG00000244239.1	8.770	3.690	1.059	4.17e-51
AC007566.10	ENSG00000244055.1	1.000	3.980	-1.316	3.36e-143
AC007743.1	ENSG00000233251.7	0.310	2.890	-1.570	3.19e-142
AC009005.2	ENSG00000267751.5	3.300	0.670	1.364	2.65e-77
AC009120.6	ENSG00000259972.2	4.040	10.410	-1.179	1.04e-108
AC016735.2	ENSG00000231826.5	0.460	3.210	-1.528	2.93e-31
AC016995.3	ENSG00000231367.5	0.700	5.230	-1.874	3.78e-74
AC018766.4	ENSG00000267896.1	2.410	6.520	-1.141	2.13e-62
