GeneSymbol	GeneID	MedianTumor	MedianNormal	Log2Foldchange	adjp
AADAT	ENSG00000109576.13	1.830	11.500	-2.143	1.43e-54
AASS	ENSG00000008311.14	3.240	11.160	-1.520	3.01e-25
AATF	ENSG00000275700.4	29.171	10.640	1.374	3.42e-89
ABCA8	ENSG00000141338.13	3.330	13.070	-1.700	7.44e-40
ABCA9	ENSG00000154258.16	0.630	3.270	-1.389	1.23e-47
ABCB6	ENSG00000115657.12	39.371	18.615	1.041	7.35e-24
ABCC6P2	ENSG00000255277.3	8.950	3.735	1.071	1.61e-38
ABCC9	ENSG00000069431.10	2.250	6.825	-1.268	5.13e-30
ABHD12	ENSG00000100997.18	35.671	12.070	1.488	1.10e-90
ABLIM3	ENSG00000173210.19	12.690	37.135	-1.478	6.90e-44
AC004538.3	ENSG00000230333.6	0.140	2.040	-1.415	5.08e-53
AC004540.4	ENSG00000225792.1	0.170	1.654	-1.182	3.33e-30
AC005077.14	ENSG00000230882.1	0.520	6.740	-2.348	4.83e-69
AC005255.3	ENSG00000256210.3	3.450	0.000	2.154	9.25e-53
AC005943.2	ENSG00000267059.2	1.380	0.000	1.251	3.14e-18
AC005943.6	ENSG00000279009.1	2.240	0.000	1.696	3.84e-5
AC006128.2	ENSG00000279716.1	1.150	7.035	-1.902	1.00e-32
AC007318.5	ENSG00000172974.11	4.630	1.580	1.126	5.07e-35
AC009065.4	ENSG00000279473.1	1.340	0.000	1.227	3.03e-45
AC009120.6	ENSG00000259972.2	1.990	5.625	-1.148	1.52e-16
AC009963.3	ENSG00000233494.1	12.750	43.499	-1.694	3.49e-25
AC012146.7	ENSG00000234327.7	5.990	2.170	1.141	3.61e-36
AC016292.3	ENSG00000108958.4	2.150	0.485	1.085	1.48e-34
AC016739.2	ENSG00000218175.2	12.830	4.745	1.267	1.38e-42
AC016747.3	ENSG00000212978.6	4.320	1.610	1.027	1.73e-43
AC068535.3	ENSG00000225765.1	1.620	9.540	-2.008	7.65e-29
AC092171.4	ENSG00000230733.2	2.230	0.560	1.050	1.05e-43
AC093673.5	ENSG00000232533.1	5.260	2.085	1.021	8.32e-31
AC099668.5	ENSG00000259970.1	2.330	10.819	-1.828	8.88e-35
AC104534.3	ENSG00000268083.5	5.810	0.420	2.262	2.16e-14
AC104809.2	ENSG00000223991.1	0.040	3.375	-2.073	2.01e-42
AC132217.4	ENSG00000240801.1	21.110	365.062	-4.049	1.29e-12
AC138035.2	ENSG00000238035.8	0.600	3.465	-1.481	4.12e-37
AC239868.2	ENSG00000280874.1	22.920	4.910	2.017	8.03e-30
AC239868.3	ENSG00000281134.1	22.920	4.910	2.017	8.03e-30
ACACB	ENSG00000076555.15	8.470	23.610	-1.378	3.15e-30
ACAD11	ENSG00000240303.7	12.740	40.844	-1.607	4.38e-50
ACADL	ENSG00000115361.7	2.900	8.555	-1.293	1.03e-28
ACADS	ENSG00000122971.8	39.170	97.480	-1.294	1.57e-44
ACADVL	ENSG00000072778.19	359.313	861.913	-1.260	4.18e-36
ACAP3	ENSG00000131584.18	7.860	17.300	-1.046	7.23e-9
ACBD6	ENSG00000230124.6	24.710	9.845	1.245	8.85e-69
ACCS	ENSG00000110455.13	6.220	14.189	-1.073	2.03e-19
ACLY	ENSG00000131473.16	20.910	8.174	1.256	3.79e-35
ACOT12	ENSG00000172497.8	13.960	29.518	-1.029	6.74e-12
ACP5	ENSG00000102575.10	22.770	9.840	1.133	5.98e-13
ACP6	ENSG00000162836.11	18.600	8.690	1.016	2.38e-42
ACSL1	ENSG00000151726.13	129.984	406.580	-1.638	4.91e-36
ACSL4	ENSG00000068366.19	33.020	2.355	3.342	2.19e-39
ACSM1	ENSG00000166743.9	8.560	1.085	2.197	6.52e-22
ACSM3	ENSG00000005187.11	18.450	58.215	-1.606	4.92e-24
ACSM5	ENSG00000183549.10	28.829	79.263	-1.428	2.95e-24
ACTN4	ENSG00000130402.11	102.749	47.200	1.106	1.62e-39
ADAM15	ENSG00000143537.13	42.241	16.735	1.286	1.11e-45
ADAMTS1	ENSG00000154734.14	3.150	7.810	-1.086	3.98e-22
ADAMTS13	ENSG00000160323.18	2.320	14.475	-2.221	5.03e-125
ADAMTS2	ENSG00000087116.13	1.370	4.445	-1.200	1.82e-22
ADAMTSL2	ENSG00000197859.9	3.150	11.359	-1.574	3.27e-32
ADAT2	ENSG00000189007.15	1.230	3.685	-1.071	9.99e-21
ADCK2	ENSG00000133597.9	14.490	5.585	1.234	4.04e-76
ADCY1	ENSG00000164742.14	0.400	4.115	-1.869	7.59e-41
ADGRA3	ENSG00000152990.13	8.900	21.525	-1.186	7.36e-27
ADGRG7	ENSG00000144820.7	0.720	4.425	-1.657	5.97e-48
ADH1B	ENSG00000196616.12	360.135	884.396	-1.294	1.98e-9
ADH4	ENSG00000198099.8	154.032	549.147	-1.827	1.69e-12
ADIPOR1	ENSG00000159346.12	66.791	32.800	1.004	9.46e-57
ADM2	ENSG00000128165.8	2.800	0.750	1.119	7.34e-21
ADRA1A	ENSG00000120907.17	0.750	16.380	-3.312	2.63e-97
ADRA1B	ENSG00000170214.3	1.210	3.855	-1.135	1.08e-39
ADRA2B	ENSG00000274286.1	0.410	1.885	-1.033	4.88e-68
ADSL	ENSG00000239900.11	31.910	14.580	1.079	5.15e-55
AF064858.6	ENSG00000205622.9	0.810	3.285	-1.243	8.49e-22
AFG3L1P	ENSG00000223959.8	3.200	8.220	-1.134	3.98e-20
AFM	ENSG00000079557.4	50.380	143.334	-1.490	5.52e-23
AFP	ENSG00000081051.7	11.460	4.685	1.132	3.50e-16
AGAP4	ENSG00000188234.13	2.280	5.630	-1.015	4.40e-16
AGAP5	ENSG00000172650.12	1.110	3.235	-1.005	9.04e-21
AGAP6	ENSG00000204149.9	3.380	12.338	-1.607	1.06e-23
AGAP9	ENSG00000204172.11	2.160	10.750	-1.895	2.12e-30
AGBL5	ENSG00000084693.15	8.210	3.445	1.051	5.03e-51
AGER	ENSG00000204305.13	1.410	4.070	-1.073	1.74e-19
AGPAT1	ENSG00000204310.10	46.821	21.794	1.069	9.03e-60
AGXT2	ENSG00000113492.13	13.630	35.030	-1.300	1.30e-26
AHSA2	ENSG00000173209.22	10.420	24.350	-1.150	6.81e-7
AIDA	ENSG00000186063.12	24.519	10.875	1.104	1.87e-60
AIM1L	ENSG00000176092.13	1.810	0.170	1.264	2.14e-41
AIMP2	ENSG00000106305.9	27.651	13.260	1.007	7.54e-44
AKAP17A	ENSG00000197976.10	10.160	25.474	-1.246	6.85e-18
AKIP1	ENSG00000166452.11	12.780	5.335	1.121	1.08e-62
AKR1B10	ENSG00000198074.9	177.158	3.015	5.472	1.03e-35
AKR1C1	ENSG00000187134.12	481.068	212.636	1.174	9.07e-10
