GeneSymbol	GeneID	MediaTumor	MedianNormal	Log2FoldChange	adjp
A4GALT	ENSG00000128274.15	4.660	10.640	-1.040	1.44e-5
AADAC	ENSG00000114771.13	0.960	192.584	-6.626	2.67e-60
AASS	ENSG00000008311.14	1.980	7.735	-1.551	4.39e-33
ABCA1	ENSG00000165029.15	3.240	31.830	-2.953	1.57e-49
ABCA10	ENSG00000154263.17	0.450	2.905	-1.429	3.10e-26
ABCA5	ENSG00000154265.15	8.170	19.225	-1.141	2.54e-15
ABCA6	ENSG00000154262.12	0.310	4.220	-1.994	3.81e-28
ABCA8	ENSG00000141338.13	9.170	49.350	-2.308	9.73e-26
ABCA9	ENSG00000154258.16	0.220	2.970	-1.702	1.44e-43
ABCB1	ENSG00000085563.14	56.141	208.433	-1.874	1.05e-20
ABCC3	ENSG00000108846.15	26.480	204.541	-2.903	4.52e-37
ABCC6P2	ENSG00000255277.3	1.520	0.250	1.011	8.38e-19
ABCG1	ENSG00000160179.18	8.060	34.195	-1.958	8.06e-20
ABI3BP	ENSG00000154175.16	1.620	7.730	-1.736	1.41e-4
ABLIM1	ENSG00000099204.18	3.250	71.993	-4.102	1.55e-38
ABLIM3	ENSG00000173210.19	2.810	7.345	-1.131	4.62e-8
ABO	ENSG00000175164.13	2.760	13.560	-1.953	1.85e-16
ABRACL	ENSG00000146386.7	18.181	5.320	1.602	1.78e-23
ABTB1	ENSG00000114626.17	9.420	25.579	-1.351	3.72e-18
AC000089.3	ENSG00000235776.2	2.660	0.350	1.439	8.09e-56
AC003991.3	ENSG00000228113.7	0.040	2.175	-1.610	1.03e-38
AC005062.2	ENSG00000243004.5	0.960	3.555	-1.217	6.05e-35
AC005104.3	ENSG00000223374.1	0.240	2.010	-1.279	9.03e-48
AC005154.6	ENSG00000196295.11	12.690	35.685	-1.422	2.03e-33
AC005154.7	ENSG00000244480.1	0.270	1.850	-1.166	1.27e-48
AC005255.3	ENSG00000256210.3	4.210	0.409	1.887	6.72e-27
AC005517.3	ENSG00000223878.1	0.260	2.470	-1.461	2.81e-49
AC005519.4	ENSG00000258559.2	0.540	2.570	-1.213	4.51e-50
AC005786.7	ENSG00000267436.1	7.630	0.000	3.109	2.69e-16
