GeneSymbol	GeneID	MedianTumor	MedianNormal	Log2FoldChange	adjp
A1CF	ENSG00000148584.14	5.170	0.250	2.303	1.22e-15
A2M	ENSG00000175899.14	68.027	138.461	-1.015	1.31e-11
A2M-AS1	ENSG00000245105.2	0.220	2.115	-1.352	3.90e-35
A4GALT	ENSG00000128274.15	4.719	22.334	-2.028	7.05e-29
AADACP1	ENSG00000240602.7	1.850	0.225	1.218	1.62e-38
AARD	ENSG00000205002.3	0.075	1.325	-1.113	1.34e-22
AASS	ENSG00000008311.14	1.115	10.330	-2.421	7.50e-58
AATK	ENSG00000181409.11	1.790	7.905	-1.674	2.93e-29
ABCA1	ENSG00000165029.15	2.489	9.640	-1.608	2.85e-36
ABCA10	ENSG00000154263.17	0.300	5.010	-2.209	1.64e-56
ABCA3	ENSG00000167972.13	1.060	6.500	-1.864	1.34e-28
ABCA5	ENSG00000154265.15	4.750	13.920	-1.376	3.03e-35
ABCA6	ENSG00000154262.12	0.315	9.270	-2.965	1.72e-70
ABCA8	ENSG00000141338.13	0.355	18.020	-3.811	2.04e-109
ABCA9	ENSG00000154258.16	0.110	7.780	-2.984	1.70e-70
ABCB1	ENSG00000085563.14	13.520	5.065	1.260	9.31e-7
ABCC3	ENSG00000108846.15	40.425	7.859	2.225	2.19e-5
ABCC5	ENSG00000114770.16	8.590	20.870	-1.189	3.37e-32
ABCC6	ENSG00000091262.14	6.969	1.810	1.504	1.04e-14
ABCC6P1	ENSG00000256340.8	3.260	0.645	1.373	1.01e-10
ABCC8	ENSG00000006071.11	0.140	2.355	-1.557	8.55e-76
ABCC9	ENSG00000069431.10	0.590	4.425	-1.771	4.94e-25
ABCE1	ENSG00000164163.10	34.648	13.065	1.342	3.38e-55
ABHD11	ENSG00000106077.18	86.100	15.755	2.378	1.06e-24
ABHD11-AS1	ENSG00000225969.1	12.639	1.050	2.734	2.62e-14
ABHD12	ENSG00000100997.18	61.905	25.030	1.273	6.30e-45
ABHD17C	ENSG00000136379.11	51.904	4.685	3.218	8.63e-30
ABHD2	ENSG00000140526.16	31.825	10.505	1.513	1.94e-42
ABHD8	ENSG00000127220.5	2.295	10.830	-1.844	3.18e-41
ABI3BP	ENSG00000154175.16	2.434	27.875	-3.072	4.60e-54
ABL1	ENSG00000097007.17	27.315	65.514	-1.232	7.42e-21
ABLIM2	ENSG00000163995.18	14.525	4.530	1.489	2.91e-54
ABLIM3	ENSG00000173210.19	1.815	8.590	-1.768	2.82e-33
ABO	ENSG00000175164.13	11.959	2.720	1.801	7.44e-4
ABRACL	ENSG00000146386.7	102.128	13.855	2.795	9.57e-38
ABTB1	ENSG00000114626.17	14.874	48.309	-1.635	8.11e-33
AC000089.3	ENSG00000235776.2	3.885	0.315	1.893	1.69e-148
AC002116.8	ENSG00000248101.2	0.265	2.345	-1.403	2.25e-44
AC002398.12	ENSG00000267328.1	1.320	13.250	-2.619	6.66e-20
AC003090.1	ENSG00000223561.6	0.130	1.310	-1.032	1.79e-31
AC003973.3	ENSG00000279377.1	0.080	1.840	-1.395	1.91e-39
AC004967.7	ENSG00000243554.1	2.345	0.550	1.110	1.92e-73
AC005083.1	ENSG00000233834.6	4.715	0.180	2.276	3.43e-72
AC005104.3	ENSG00000223374.1	0.695	3.415	-1.381	1.42e-56
AC005154.6	ENSG00000196295.11	12.135	43.245	-1.752	4.68e-48
AC005154.7	ENSG00000244480.1	0.335	2.150	-1.239	9.14e-73
AC005253.2	ENSG00000268030.1	0.945	3.210	-1.114	1.81e-49
AC005255.3	ENSG00000256210.3	6.020	0.000	2.811	1.65e-90
AC005355.2	ENSG00000251169.2	4.799	0.285	2.174	1.52e-15
AC005519.4	ENSG00000258559.2	0.525	2.735	-1.292	2.47e-51
AC005682.5	ENSG00000228649.8	0.280	3.065	-1.667	2.66e-39
AC005786.7	ENSG00000267436.1	2.332	0.435	1.215	3.45e-7
AC005943.2	ENSG00000267059.2	8.214	0.000	3.204	2.60e-53
AC005944.2	ENSG00000267469.1	13.984	30.359	-1.065	2.24e-4
AC006128.2	ENSG00000279716.1	1.175	10.200	-2.365	3.87e-78
AC006942.4	ENSG00000269194.1	0.250	2.175	-1.345	4.29e-53
AC007009.1	ENSG00000244239.1	5.015	0.920	1.647	6.66e-31
AC007255.8	ENSG00000223813.2	3.390	0.450	1.598	7.13e-13
AC007326.1	ENSG00000279560.1	0.935	3.760	-1.299	3.31e-24
AC007566.10	ENSG00000244055.1	0.810	3.940	-1.449	1.15e-53
AC007620.3	ENSG00000242539.2	1.390	4.545	-1.214	1.28e-17
AC009065.4	ENSG00000279473.1	4.425	0.000	2.440	7.47e-151
AC009120.6	ENSG00000259972.2	3.715	12.185	-1.484	1.31e-44
AC009299.3	ENSG00000227403.1	2.370	0.140	1.564	7.73e-50
AC009501.4	ENSG00000231609.5	0.210	1.955	-1.288	1.51e-46
AC009948.5	ENSG00000223960.6	2.150	5.790	-1.108	2.05e-24
AC010226.4	ENSG00000249249.1	0.405	2.340	-1.249	2.68e-36
AC010980.2	ENSG00000237732.9	0.070	1.270	-1.085	8.28e-26
AC011513.3	ENSG00000267881.1	1.150	0.000	1.104	1.27e-65
AC011737.2	ENSG00000204196.5	45.860	11.900	1.861	8.42e-70
AC012065.1	ENSG00000279307.1	1.995	0.380	1.118	2.45e-74
AC012146.7	ENSG00000234327.7	1.455	4.805	-1.242	8.24e-35
AC016292.3	ENSG00000108958.4	1.800	0.350	1.052	1.31e-64
AC016735.1	ENSG00000224739.2	1.315	0.000	1.211	2.11e-50
AC016739.2	ENSG00000218175.2	27.830	12.015	1.147	4.31e-32
AC016757.3	ENSG00000186235.10	0.120	1.875	-1.360	2.75e-37
AC016995.3	ENSG00000231367.5	0.100	2.810	-1.792	4.52e-31
AC017074.2	ENSG00000227359.1	2.240	0.405	1.205	3.00e-39
AC017104.6	ENSG00000224376.1	0.410	2.525	-1.322	1.02e-33
AC017116.11	ENSG00000239775.1	0.655	3.200	-1.344	5.57e-38
AC018462.3	ENSG00000242735.1	0.000	1.140	-1.098	8.44e-29
AC018738.2	ENSG00000237039.1	2.085	0.245	1.309	9.86e-30
AC018766.4	ENSG00000267896.1	2.580	9.145	-1.503	4.75e-52
AC021218.2	ENSG00000204876.4	9.412	0.000	3.380	7.10e-134
AC024560.3	ENSG00000214135.8	7.675	26.215	-1.650	4.67e-52
AC025165.8	ENSG00000224713.4	0.050	5.620	-2.656	1.24e-52
AC026150.8	ENSG00000260693.1	0.210	1.580	-1.092	4.22e-49
AC034220.3	ENSG00000233006.6	2.265	6.385	-1.178	1.64e-36
AC053503.12	ENSG00000280323.1	0.020	6.605	-2.898	4.95e-34
AC053503.6	ENSG00000234638.1	0.000	4.115	-2.355	1.69e-31
AC073130.3	ENSG00000243243.5	0.000	2.020	-1.595	1.25e-30
AC073283.4	ENSG00000234690.6	3.595	0.845	1.316	4.20e-24
AC074212.6	ENSG00000267395.5	0.535	2.420	-1.156	6.05e-55
AC074289.1	ENSG00000225889.7	0.495	3.900	-1.713	2.45e-57
AC078941.1	ENSG00000236780.5	0.050	1.460	-1.228	3.47e-26
AC079922.2	ENSG00000231747.1	1.960	0.230	1.267	4.83e-84
AC079922.3	ENSG00000237753.1	0.795	3.255	-1.245	3.71e-31
AC083843.1	ENSG00000259820.1	0.805	2.815	-1.080	4.40e-48
AC083843.4	ENSG00000279518.1	0.185	1.420	-1.030	1.56e-50
AC093110.3	ENSG00000238018.2	0.705	5.180	-1.858	1.01e-59
AC093495.4	ENSG00000228242.6	1.165	6.310	-1.756	6.72e-60
AC093642.3	ENSG00000237940.3	0.355	2.410	-1.332	3.70e-35
AC093838.4	ENSG00000152117.17	5.865	13.580	-1.087	1.57e-21
AC106786.1	ENSG00000223652.2	0.235	1.640	-1.096	1.24e-21
AC106876.2	ENSG00000222001.2	15.965	0.320	3.684	3.22e-46
AC108488.4	ENSG00000242282.6	2.290	9.820	-1.718	1.01e-32
AC113188.2	ENSG00000279535.1	4.200	1.455	1.083	1.48e-16
AC113189.5	ENSG00000233223.2	6.355	15.430	-1.159	5.25e-23
AC114730.11	ENSG00000235351.1	0.290	1.935	-1.186	4.95e-50
AC114730.3	ENSG00000224272.2	4.160	0.650	1.645	3.50e-5
AC123023.1	ENSG00000236452.1	1.465	0.000	1.301	2.26e-99
AC129492.1	ENSG00000279152.1	0.305	1.720	-1.060	1.03e-26
AC138035.2	ENSG00000238035.8	2.040	8.765	-1.684	1.07e-51
AC144530.1	ENSG00000234742.1	1.795	0.250	1.161	9.84e-96
AC156455.1	ENSG00000256546.1	2.250	7.900	-1.453	1.99e-11
AC159540.1	ENSG00000230606.10	6.950	21.300	-1.488	1.38e-24
AC239868.2	ENSG00000280874.1	8.741	3.450	1.130	2.42e-5
AC239868.3	ENSG00000281134.1	8.741	3.450	1.130	2.42e-5
ACACB	ENSG00000076555.15	3.460	37.491	-3.109	4.89e-70
ACAD11	ENSG00000240303.7	3.785	18.510	-2.028	6.49e-43
ACADVL	ENSG00000072778.19	174.386	710.430	-2.020	3.99e-32
ACAN	ENSG00000157766.15	4.550	0.185	2.228	1.28e-109
ACAP3	ENSG00000131584.18	11.334	51.426	-2.088	1.43e-53
ACAT2	ENSG00000120437.8	28.150	8.020	1.692	8.51e-26
ACBD4	ENSG00000181513.14	6.160	20.285	-1.572	5.91e-53
ACBD5	ENSG00000107897.18	17.195	7.660	1.071	1.94e-42
ACCS	ENSG00000110455.13	5.315	22.710	-1.909	1.13e-47
ACE2	ENSG00000130234.10	13.424	0.760	3.035	4.48e-35
ACKR1	ENSG00000213088.9	3.840	38.410	-3.025	4.79e-65
ACLY	ENSG00000131473.16	56.988	23.795	1.226	5.88e-38
ACOT1	ENSG00000184227.7	3.145	7.630	-1.058	8.15e-19
ACOT2	ENSG00000119673.14	16.120	36.206	-1.120	5.06e-24
ACOX2	ENSG00000168306.12	12.434	26.954	-1.057	7.76e-18
ACP1	ENSG00000143727.15	106.683	49.386	1.096	1.96e-43
ACP5	ENSG00000102575.10	28.859	12.105	1.188	5.02e-15
ACSL3	ENSG00000123983.13	51.285	21.360	1.225	2.62e-34
ACSL5	ENSG00000197142.10	150.779	10.204	3.760	6.76e-31
ACSM5	ENSG00000183549.10	0.115	2.545	-1.669	8.62e-41
ACSS3	ENSG00000111058.7	0.490	2.150	-1.080	1.56e-16
ACTA1	ENSG00000143632.14	0.050	3.345	-2.049	1.23e-37
ACTA2	ENSG00000107796.12	205.692	1502.187	-2.862	1.95e-22
ACTA2-AS1	ENSG00000180139.11	1.119	26.545	-3.700	8.41e-58
ACTC1	ENSG00000159251.6	0.530	2.490	-1.190	4.09e-14
ACTG1	ENSG00000184009.9	2741.309	1164.059	1.235	6.79e-18
ACTG2	ENSG00000163017.13	46.758	4929.241	-6.690	1.84e-40
ACTL10	ENSG00000182584.4	3.270	0.735	1.299	4.22e-76
ACTL6A	ENSG00000136518.16	64.637	26.680	1.246	8.32e-46
ACTN1	ENSG00000072110.13	106.450	437.942	-2.030	6.58e-10
ACTN4	ENSG00000130402.11	373.767	177.293	1.072	1.56e-20
ACTR2	ENSG00000138071.13	114.047	41.655	1.431	1.18e-47
ACTR3	ENSG00000115091.11	151.638	57.839	1.375	4.22e-32
ACVR1B	ENSG00000135503.12	24.074	9.745	1.223	2.37e-25
ACY1	ENSG00000243989.7	75.386	11.035	2.666	1.18e-26
ACY3	ENSG00000132744.7	7.670	0.305	2.732	2.93e-28
ADAM10	ENSG00000137845.14	30.350	14.605	1.006	3.11e-22
ADAM11	ENSG00000073670.13	0.070	1.730	-1.351	6.42e-37
ADAM12	ENSG00000148848.14	1.895	0.190	1.283	2.01e-55
ADAM33	ENSG00000149451.17	0.770	109.899	-5.969	2.55e-92
ADAMTS1	ENSG00000154734.14	4.700	35.775	-2.690	5.57e-42
ADAMTS10	ENSG00000142303.13	1.425	19.045	-3.047	4.68e-71
ADAMTS13	ENSG00000160323.18	1.020	3.240	-1.070	1.82e-30
ADAMTS15	ENSG00000166106.3	0.460	2.070	-1.072	4.01e-18
ADAMTS8	ENSG00000134917.9	0.425	7.635	-2.599	1.85e-37
ADAMTS9	ENSG00000163638.13	4.005	9.275	-1.038	3.70e-10
ADAMTS9-AS1	ENSG00000241158.5	0.145	15.665	-3.863	9.96e-44
ADAMTS9-AS2	ENSG00000241684.5	0.090	3.820	-2.145	3.06e-50
ADAMTSL1	ENSG00000178031.15	0.760	3.485	-1.350	7.16e-47
ADAMTSL3	ENSG00000156218.12	0.325	7.235	-2.636	3.34e-34
ADAMTSL4	ENSG00000143382.13	2.505	29.845	-3.138	4.27e-75
ADARB1	ENSG00000197381.15	3.039	20.430	-2.408	8.37e-35
ADARB2	ENSG00000185736.15	0.180	1.605	-1.143	4.34e-31
ADCY2	ENSG00000078295.15	0.450	4.890	-2.022	1.70e-33
ADCY4	ENSG00000129467.13	2.630	18.710	-2.441	8.43e-68
ADCY5	ENSG00000173175.14	0.900	26.145	-3.837	2.47e-70
