GeneSymbol	GeneID	MedianTumor	MedianNormal	Log2FoldChange	adjp
A1CF	ENSG00000148584.14	1.625	0.150	1.191	1.18e-29
AAED1	ENSG00000158122.11	6.990	2.940	1.020	6.04e-30
AASDHPPT	ENSG00000149313.10	15.860	6.050	1.258	2.06e-82
AASS	ENSG00000008311.14	1.400	6.640	-1.671	4.83e-78
ABCA10	ENSG00000154263.17	0.640	2.660	-1.158	2.88e-43
ABCA5	ENSG00000154265.15	4.725	12.060	-1.190	2.88e-43
ABCA6	ENSG00000154262.12	0.945	3.640	-1.254	3.31e-45
ABCA8	ENSG00000141338.13	1.000	9.730	-2.424	1.38e-68
ABCA9	ENSG00000154258.16	0.385	2.060	-1.144	7.80e-51
ABCC5	ENSG00000114770.16	7.775	23.950	-1.508	3.74e-57
ABCC8	ENSG00000006071.11	0.230	7.560	-2.799	4.36e-94
ABCD1	ENSG00000101986.11	13.390	3.600	1.645	6.53e-55
ABCE1	ENSG00000164163.10	29.860	10.030	1.484	8.49e-90
ABCF2	ENSG00000033050.7	23.560	10.920	1.043	1.73e-39
ABHD11	ENSG00000106077.18	49.399	10.300	2.157	6.53e-119
ABHD11-AS1	ENSG00000225969.1	3.675	0.450	1.689	1.31e-48
ABHD17C	ENSG00000136379.11	47.831	8.840	2.311	9.26e-98
ABHD2	ENSG00000140526.16	54.915	18.610	1.512	4.01e-44
ABI1	ENSG00000136754.16	32.075	14.770	1.069	3.80e-74
ABI2	ENSG00000138443.15	19.975	6.250	1.533	6.32e-51
ABL2	ENSG00000143322.19	4.970	1.900	1.042	3.24e-53
ABO	ENSG00000175164.13	7.415	2.110	1.436	5.75e-20
ABRACL	ENSG00000146386.7	45.630	15.360	1.511	1.84e-74
ABTB2	ENSG00000166016.5	4.910	1.320	1.349	1.45e-46
AC002398.12	ENSG00000267328.1	0.370	1.890	-1.077	3.06e-18
AC002398.9	ENSG00000188223.9	7.050	2.930	1.034	8.33e-68
AC004057.1	ENSG00000196656.7	1378.133	463.973	1.569	7.53e-62
AC004453.8	ENSG00000146677.7	7.880	3.100	1.115	2.20e-42
AC005104.3	ENSG00000223374.1	0.500	2.180	-1.084	6.99e-64
AC005339.2	ENSG00000268565.1	0.000	1.150	-1.104	2.35e-7
AC005355.2	ENSG00000251169.2	1.670	0.330	1.005	9.40e-39
AC005943.2	ENSG00000267059.2	10.595	0.090	3.411	2.48e-74
AC005943.6	ENSG00000279009.1	1.355	0.000	1.236	2.69e-13
AC006011.4	ENSG00000244563.1	16.770	3.920	1.853	1.58e-127
AC006128.2	ENSG00000279716.1	2.095	7.930	-1.529	7.38e-51
AC006449.2	ENSG00000279119.1	0.000	18.520	-4.287	9.73e-139
AC007283.5	ENSG00000234431.2	1.390	0.100	1.119	2.22e-16
AC007969.5	ENSG00000233762.3	21.560	4.090	2.148	5.74e-85
AC008268.1	ENSG00000235584.2	0.000	1.340	-1.227	2.71e-75
AC009005.2	ENSG00000267751.5	2.685	0.590	1.213	1.46e-49
AC009299.3	ENSG00000227403.1	1.650	0.210	1.131	5.70e-49
AC009950.1	ENSG00000280755.1	2.660	0.780	1.040	3.03e-24
AC010761.10	ENSG00000265840.1	3.090	0.000	2.032	1.31e-43
AC012363.4	ENSG00000224789.1	1.560	0.000	1.356	1.72e-72
AC013463.2	ENSG00000236283.3	0.270	1.660	-1.067	1.17e-23
AC017116.11	ENSG00000239775.1	0.405	2.000	-1.094	3.21e-48
AC018766.4	ENSG00000267896.1	1.640	5.860	-1.378	7.37e-52
AC021218.2	ENSG00000204876.4	3.115	0.350	1.608	2.32e-38
AC027612.3	ENSG00000230572.5	0.000	1.370	-1.245	8.71e-73
AC069213.1	ENSG00000224769.1	4.640	1.410	1.227	4.13e-21
AC073046.25	ENSG00000235499.1	3.765	0.610	1.565	3.25e-75
AC074212.5	ENSG00000259605.3	1.765	5.890	-1.317	2.52e-37
AC074212.6	ENSG00000267395.5	1.250	3.680	-1.057	2.04e-48
AC079767.4	ENSG00000224137.1	1.145	0.000	1.101	4.83e-41
AC093724.2	ENSG00000213222.3	1.740	0.340	1.032	1.67e-86
AC108488.4	ENSG00000242282.6	2.305	7.390	-1.344	6.97e-52
AC132217.4	ENSG00000240801.1	0.425	5.450	-2.178	4.53e-17
AC133528.2	ENSG00000228989.1	2.275	5.740	-1.041	7.41e-37
AC133644.2	ENSG00000280721.1	2.430	0.490	1.203	4.97e-73
AC141586.5	ENSG00000215154.6	3.410	1.180	1.016	5.79e-93
ACAA2	ENSG00000167315.17	49.755	20.141	1.264	7.67e-29
ACACB	ENSG00000076555.15	4.740	14.860	-1.466	8.50e-54
ACADL	ENSG00000115361.7	0.080	3.980	-2.205	6.11e-137
ACADVL	ENSG00000072778.19	130.191	495.450	-1.920	3.93e-75
ACAN	ENSG00000157766.15	2.945	0.190	1.729	4.63e-77
ACAP2	ENSG00000114331.12	13.650	4.850	1.324	2.20e-79
ACAP3	ENSG00000131584.18	13.065	28.650	-1.076	3.49e-38
ACBD3	ENSG00000182827.8	29.310	11.450	1.284	3.25e-104
ACBD5	ENSG00000107897.18	17.115	6.040	1.364	1.87e-83
ACCS	ENSG00000110455.13	4.875	16.840	-1.602	2.26e-61
ACE	ENSG00000159640.14	19.760	3.690	2.146	1.42e-66
ACE2	ENSG00000130234.10	1.815	0.320	1.093	4.69e-14
ACER3	ENSG00000078124.11	10.555	2.460	1.740	2.62e-120
ACHE	ENSG00000087085.13	5.195	0.970	1.653	3.93e-27
ACKR1	ENSG00000213088.9	7.585	19.260	-1.239	2.35e-21
ACLY	ENSG00000131473.16	42.324	18.640	1.141	5.28e-54
ACOT13	ENSG00000112304.10	17.225	7.520	1.097	3.08e-70
ACOT7	ENSG00000097021.19	46.134	10.200	2.073	4.48e-88
ACPP	ENSG00000014257.15	2.975	0.980	1.005	8.15e-20
ACSF2	ENSG00000167107.12	12.400	26.820	-1.054	1.05e-20
ACSL4	ENSG00000068366.19	20.360	7.900	1.263	9.39e-64
ACSL5	ENSG00000197142.10	53.059	10.930	2.180	8.07e-57
ACSM3	ENSG00000005187.11	10.945	23.740	-1.050	2.76e-9
ACSM5	ENSG00000183549.10	0.240	2.260	-1.395	2.49e-99
ACTA1	ENSG00000143632.14	0.080	1.480	-1.199	7.24e-56
ACTA2-AS1	ENSG00000180139.11	2.025	5.570	-1.119	1.73e-24
ACTB	ENSG00000075624.13	4546.371	1690.810	1.426	1.38e-34
ACTG1	ENSG00000184009.9	3068.248	1155.177	1.409	6.64e-63
ACTG2	ENSG00000163017.13	62.943	213.693	-1.747	9.97e-16
ACTL6A	ENSG00000136518.16	42.299	17.890	1.197	1.93e-87
ACTN1	ENSG00000072110.13	119.800	53.660	1.144	1.50e-6
ACTN4	ENSG00000130402.11	442.519	113.417	1.955	2.59e-89
ACTR2	ENSG00000138071.13	81.303	27.359	1.537	1.92e-110
ACTR3	ENSG00000115091.11	116.013	41.550	1.459	1.53e-74
ACVR1	ENSG00000115170.13	16.020	6.930	1.102	4.01e-52
ACY1	ENSG00000243989.7	44.999	13.930	1.623	1.01e-53
ACY3	ENSG00000132744.7	9.450	4.090	1.038	4.50e-23
ADA	ENSG00000196839.12	8.685	25.400	-1.447	3.94e-37
ADAM10	ENSG00000137845.14	54.545	10.170	2.314	3.42e-104
ADAM12	ENSG00000148848.14	2.325	0.110	1.583	1.46e-74
ADAM17	ENSG00000151694.12	7.600	2.940	1.126	3.40e-66
ADAM28	ENSG00000042980.12	10.745	32.610	-1.517	3.65e-5
ADAM33	ENSG00000149451.17	1.210	16.030	-2.946	7.16e-84
ADAM8	ENSG00000151651.15	10.820	3.120	1.520	2.76e-52
