GeneSymbol	GeneID	MedianTumor	MedianNormal	Log2FoldChange	adjp
A4GALT	ENSG00000128274.15	8.210	26.500	-1.578	1.94e-98
AAAS	ENSG00000094914.12	27.980	64.319	-1.172	1.88e-164
AASS	ENSG00000008311.14	2.435	12.870	-2.014	3.80e-209
AATK	ENSG00000181409.11	1.700	6.410	-1.456	1.03e-83
ABCA10	ENSG00000154263.17	0.435	11.550	-3.129	2.92e-229
ABCA5	ENSG00000154265.15	8.115	20.150	-1.214	1.71e-130
ABCA6	ENSG00000154262.12	0.575	16.050	-3.436	1.46e-243
ABCA7	ENSG00000064687.12	10.395	24.609	-1.168	9.60e-69
ABCA8	ENSG00000141338.13	2.440	25.980	-2.971	3.48e-172
ABCA9	ENSG00000154258.16	0.160	10.960	-3.366	2.90e-281
ABCB6	ENSG00000115657.12	16.190	41.369	-1.301	4.55e-112
ABCC1	ENSG00000103222.18	11.445	28.670	-1.253	1.41e-114
ABCC5	ENSG00000114770.16	2.965	15.570	-2.063	2.45e-185
ABCC6P1	ENSG00000256340.8	4.365	0.710	1.650	2.61e-163
ABCC6P2	ENSG00000255277.3	5.910	0.700	2.023	3.32e-215
ABCC8	ENSG00000006071.11	1.125	8.990	-2.233	9.93e-55
ABCC9	ENSG00000069431.10	0.970	5.790	-1.785	4.02e-162
ABHD11-AS1	ENSG00000225969.1	5.480	1.140	1.598	4.31e-70
ABI3BP	ENSG00000154175.16	7.915	51.460	-2.557	7.00e-114
ABLIM1	ENSG00000099204.18	34.349	75.598	-1.116	4.61e-83
ABLIM3	ENSG00000173210.19	1.905	12.140	-2.177	4.60e-188
ABO	ENSG00000175164.13	8.310	22.500	-1.336	1.20e-91
ABTB1	ENSG00000114626.17	17.410	44.659	-1.310	6.11e-108
ABTB2	ENSG00000166016.5	5.355	1.870	1.147	3.19e-45
AC000089.3	ENSG00000235776.2	3.140	0.570	1.399	3.46e-135
AC000123.3	ENSG00000279265.1	1.270	4.140	-1.179	2.01e-138
AC000123.4	ENSG00000224138.1	0.580	2.240	-1.036	1.32e-149
AC002066.1	ENSG00000237813.3	0.750	2.860	-1.141	5.06e-73
AC002116.8	ENSG00000248101.2	0.300	3.670	-1.845	8.34e-121
AC002398.12	ENSG00000267328.1	0.325	2.580	-1.434	8.15e-89
AC004623.3	ENSG00000279488.1	0.190	2.210	-1.432	1.49e-184
AC005042.4	ENSG00000204380.4	0.600	2.720	-1.217	6.65e-114
AC005083.1	ENSG00000233834.6	6.930	2.630	1.127	1.08e-44
AC005104.3	ENSG00000223374.1	0.575	5.170	-1.970	9.55e-183
AC005154.6	ENSG00000196295.11	20.865	70.082	-1.701	2.46e-118
AC005154.7	ENSG00000244480.1	0.880	4.600	-1.575	5.53e-154
AC005253.2	ENSG00000268030.1	0.740	5.100	-1.810	2.08e-185
AC005255.3	ENSG00000256210.3	2.390	0.680	1.013	1.15e-40
AC005306.3	ENSG00000267283.1	0.715	3.060	-1.243	1.08e-65
AC005329.7	ENSG00000248015.6	0.500	2.620	-1.271	1.25e-134
AC005363.9	ENSG00000255513.1	0.000	1.320	-1.214	2.02e-60
AC005517.3	ENSG00000223878.1	0.910	4.720	-1.582	2.36e-136
AC005519.4	ENSG00000258559.2	0.660	6.470	-2.170	7.43e-190
AC005682.5	ENSG00000228649.8	0.240	1.630	-1.085	1.29e-182
AC005785.2	ENSG00000268189.2	0.190	1.450	-1.042	1.38e-112
AC005785.5	ENSG00000279203.1	0.280	2.000	-1.229	1.74e-137
AC005786.7	ENSG00000267436.1	2.545	9.980	-1.631	5.27e-51
AC006077.3	ENSG00000279799.1	1.310	4.410	-1.228	6.72e-91
AC006116.24	ENSG00000267776.1	0.750	3.010	-1.196	1.07e-132
AC006126.4	ENSG00000267045.1	3.435	13.950	-1.753	2.43e-69
AC006128.2	ENSG00000279716.1	2.430	28.939	-3.126	2.60e-170
AC006273.5	ENSG00000267530.2	0.410	2.050	-1.113	2.01e-83
AC006547.13	ENSG00000236540.7	1.760	5.790	-1.299	5.13e-153
AC007038.7	ENSG00000229127.1	0.260	2.180	-1.336	1.75e-219
AC007192.6	ENSG00000269145.2	7.045	2.350	1.264	1.03e-61
AC007255.8	ENSG00000223813.2	3.725	0.470	1.685	8.67e-65
AC007283.5	ENSG00000234431.2	4.375	1.410	1.157	2.88e-48
