GeneSymbol	GeneID	MedianTumor	MedianNormal	Log2FoldChange	adjp
A2M	ENSG00000175899.14	150.957	329.263	-1.120	5.26e-51
A4GALT	ENSG00000128274.15	10.050	21.720	-1.040	9.53e-24
AADAC	ENSG00000114771.13	0.030	1.790	-1.438	1.23e-87
AAGAB	ENSG00000103591.12	44.099	18.661	1.198	1.78e-72
AARD	ENSG00000205002.3	10.680	3.430	1.399	3.11e-19
AASS	ENSG00000008311.14	1.920	16.200	-2.558	1.13e-180
ABAT	ENSG00000183044.11	12.670	5.310	1.115	5.81e-12
ABC7-42404400C24.1	ENSG00000277758.4	0.290	1.630	-1.028	1.20e-56
ABCA1	ENSG00000165029.15	4.450	11.890	-1.242	7.82e-61
ABCA10	ENSG00000154263.17	0.470	14.850	-3.431	0.00e+0
ABCA3	ENSG00000167972.13	17.980	7.990	1.078	3.11e-33
ABCA5	ENSG00000154265.15	5.710	23.400	-1.863	4.23e-133
ABCA6	ENSG00000154262.12	1.690	24.180	-3.227	7.07e-236
ABCA8	ENSG00000141338.13	1.060	32.540	-4.025	1.99e-239
ABCA9	ENSG00000154258.16	0.570	19.860	-3.732	5.43e-317
ABCB1	ENSG00000085563.14	1.620	7.460	-1.691	4.81e-100
ABCB5	ENSG00000004846.16	0.070	1.570	-1.264	3.30e-196
ABCC11	ENSG00000121270.15	5.900	0.950	1.823	3.97e-9
ABCC9	ENSG00000069431.10	1.800	7.900	-1.668	1.12e-105
ABCD2	ENSG00000173208.3	0.170	1.740	-1.228	1.57e-139
ABCD4	ENSG00000119688.20	21.780	48.000	-1.105	9.12e-89
ABHD17C	ENSG00000136379.11	16.310	4.830	1.570	3.92e-76
ABHD2	ENSG00000140526.16	26.670	12.420	1.044	3.75e-21
ABHD6	ENSG00000163686.13	3.280	8.480	-1.147	2.24e-75
ABI3BP	ENSG00000154175.16	7.260	34.719	-2.112	2.78e-71
ABLIM1	ENSG00000099204.18	21.350	57.751	-1.394	1.45e-84
ABLIM3	ENSG00000173210.19	9.130	44.350	-2.162	5.54e-75
ABO	ENSG00000175164.13	0.330	2.070	-1.207	1.66e-42
ABRACL	ENSG00000146386.7	61.031	20.050	1.559	9.18e-91
ABTB1	ENSG00000114626.17	15.590	47.330	-1.543	8.25e-84
AC002116.8	ENSG00000248101.2	0.030	1.420	-1.232	9.08e-34
AC002398.12	ENSG00000267328.1	1.050	13.080	-2.780	2.48e-155
AC005104.3	ENSG00000223374.1	0.670	2.500	-1.067	5.23e-65
AC005152.3	ENSG00000228639.6	0.480	14.460	-3.385	3.92e-66
AC005154.6	ENSG00000196295.11	16.850	39.330	-1.176	5.42e-56
AC005154.7	ENSG00000244480.1	0.400	1.860	-1.031	5.36e-111
AC005255.3	ENSG00000256210.3	7.470	1.270	1.900	2.79e-57
AC005519.4	ENSG00000258559.2	0.420	2.960	-1.480	2.98e-136
AC005682.5	ENSG00000228649.8	0.390	4.030	-1.855	2.11e-190
AC005786.7	ENSG00000267436.1	3.130	0.800	1.198	5.14e-10
AC005943.2	ENSG00000267059.2	2.960	0.200	1.722	1.86e-9
AC005943.6	ENSG00000279009.1	4.010	0.000	2.325	1.17e-8
AC006128.2	ENSG00000279716.1	2.230	9.630	-1.719	6.01e-20
AC007009.1	ENSG00000244239.1	8.770	3.690	1.059	6.59e-28
AC007566.10	ENSG00000244055.1	1.000	3.980	-1.316	3.40e-81
AC007743.1	ENSG00000233251.7	0.310	2.890	-1.570	5.97e-77
AC009005.2	ENSG00000267751.5	3.300	0.670	1.364	5.71e-61
AC009120.6	ENSG00000259972.2	4.040	10.410	-1.179	1.28e-64
AC016735.2	ENSG00000231826.5	0.460	3.210	-1.528	6.40e-47
AC016995.3	ENSG00000231367.5	0.700	5.230	-1.874	2.06e-93
AC018766.4	ENSG00000267896.1	2.410	6.520	-1.141	3.07e-25
AC024560.3	ENSG00000214135.8	8.060	18.290	-1.090	4.42e-34
AC025165.8	ENSG00000224713.4	0.140	1.470	-1.115	2.64e-138
AC055736.1	ENSG00000280827.1	0.000	2.310	-1.727	2.97e-19
AC066694.1	ENSG00000281204.1	6.290	0.000	2.866	2.01e-7
AC073850.6	ENSG00000229436.1	0.000	8.020	-3.173	4.96e-182
AC074289.1	ENSG00000225889.7	0.550	4.570	-1.845	7.00e-189
AC083843.1	ENSG00000259820.1	0.780	3.400	-1.306	5.28e-123
AC093110.3	ENSG00000238018.2	0.450	5.690	-2.206	1.54e-240
AC093495.4	ENSG00000228242.6	1.900	5.930	-1.257	9.72e-78
AC093850.2	ENSG00000230838.1	7.450	0.030	3.036	2.65e-135
AC097724.3	ENSG00000226833.5	0.710	4.760	-1.752	3.36e-168
AC104667.3	ENSG00000234949.2	1.920	0.350	1.113	1.28e-63
AC113188.2	ENSG00000279535.1	4.940	1.900	1.034	3.99e-27
AC116035.1	ENSG00000227260.1	0.000	1.130	-1.091	9.63e-201
AC116614.1	ENSG00000235688.2	0.000	1.120	-1.084	3.41e-52
AC129492.1	ENSG00000279152.1	0.000	1.130	-1.091	1.11e-13
AC129778.2	ENSG00000184906.9	0.010	1.100	-1.056	2.44e-128
AC132217.4	ENSG00000240801.1	15.911	83.008	-2.313	6.04e-49
AC135178.7	ENSG00000226871.1	0.000	1.170	-1.118	1.32e-141
AC138035.2	ENSG00000238035.8	2.870	8.360	-1.274	5.53e-39
AC144530.1	ENSG00000234742.1	3.520	0.680	1.428	2.16e-18
AC234582.1	ENSG00000279487.1	8.230	1.920	1.660	1.14e-19
AC239868.2	ENSG00000280874.1	60.300	8.300	2.721	1.40e-80
AC239868.3	ENSG00000281134.1	59.979	8.300	2.713	1.40e-78
ACACB	ENSG00000076555.15	3.910	79.099	-4.028	4.57e-214
ACAD11	ENSG00000240303.7	5.570	18.670	-1.582	7.14e-142
ACADL	ENSG00000115361.7	0.120	5.370	-2.508	4.48e-167
ACADS	ENSG00000122971.8	10.290	32.730	-1.579	1.03e-77
ACADVL	ENSG00000072778.19	166.964	586.504	-1.806	4.70e-102
ACAP3	ENSG00000131584.18	12.110	28.509	-1.171	2.37e-11
ACCS	ENSG00000110455.13	6.530	25.419	-1.811	1.03e-107
ACKR1	ENSG00000213088.9	9.360	148.920	-3.855	2.15e-111
ACKR3	ENSG00000144476.5	15.590	52.301	-1.684	1.86e-56
ACKR4	ENSG00000129048.6	1.440	4.260	-1.108	8.53e-51
ACO1	ENSG00000122729.18	15.380	33.751	-1.085	3.83e-76
ACOT4	ENSG00000177465.4	6.960	2.830	1.055	1.76e-36
ACOT7	ENSG00000097021.19	26.379	10.210	1.288	4.96e-87
ACP5	ENSG00000102575.10	59.059	24.390	1.242	2.42e-30
ACR	ENSG00000100312.10	0.240	1.530	-1.029	8.00e-87
ACSL1	ENSG00000151726.13	37.031	161.948	-2.099	1.53e-87
ACSL3	ENSG00000123983.13	81.148	36.511	1.131	1.06e-27
ACSL4	ENSG00000068366.19	8.380	18.670	-1.068	4.46e-50
ACSL5	ENSG00000197142.10	7.530	18.301	-1.178	1.49e-46
ACSM5	ENSG00000183549.10	0.840	7.630	-2.230	2.25e-187
ACSS2	ENSG00000131069.19	20.990	56.759	-1.393	1.00e-136
ACTA1	ENSG00000143632.14	0.570	2.420	-1.123	6.83e-6
ACTA2	ENSG00000107796.12	310.574	1006.338	-1.693	2.76e-67
ACTA2-AS1	ENSG00000180139.11	1.450	30.811	-3.699	4.71e-179
ACTG2	ENSG00000163017.13	10.520	150.664	-3.719	2.11e-81
ACTR2	ENSG00000138071.13	111.329	50.001	1.139	6.49e-54
ACTR3	ENSG00000115091.11	117.180	56.371	1.043	1.13e-32
ACVR1C	ENSG00000123612.15	0.170	3.350	-1.895	4.83e-156
ACVRL1	ENSG00000139567.12	7.970	29.339	-1.758	1.21e-124
ADAM12	ENSG00000148848.14	14.400	4.450	1.499	1.68e-29
